Taille;Morphologie;Methode;Nb_visites;Temps
80;ABR_filiforme;infixe;80;0.001
80;non_ABR_filiforme;naif;5;0.000
80;non_ABR_filiforme;definition;80;0.000
80;non_ABR_filiforme;infixe;4;0.000
80;ABR_quelconque;naif;233;0.000
80;ABR_quelconque;definition;80;0.001
80;ABR_quelconque;infixe;80;0.000
80;non_ABR_quelconque;naif;7;0.000
80;non_ABR_quelconque;definition;6;0.000
80;non_ABR_quelconque;infixe;6;0.000
90;ABR_complet;naif;257;0.001
90;ABR_complet;definition;90;0.000
90;ABR_complet;infixe;90;0.001
90;non_ABR_complet;naif;17;0.000
90;non_ABR_complet;definition;8;0.000
90;non_ABR_complet;infixe;8;0.000
90;ABR_filiforme;naif;266;0.001
90;ABR_filiforme;definition;90;0.000
90;ABR_filiforme;infixe;90;0.001
90;non_ABR_filiforme;naif;4;0.000
90;non_ABR_filiforme;definition;90;0.000
90;non_ABR_filiforme;infixe;4;0.000
90;ABR_quelconque;naif;262;0.001
90;ABR_quelconque;definition;90;0.001
90;ABR_quelconque;infixe;90;0.000
90;non_ABR_quelconque;naif;11;0.000
90;non_ABR_quelconque;definition;7;0.000
90;non_ABR_quelconque;infixe;7;0.000
100;ABR_complet;naif;287;0.001
100;ABR_complet;definition;100;0.000
100;ABR_complet;infixe;100;0.001
100;non_ABR_complet;naif;7;0.000
100;non_ABR_complet;definition;8;0.000
100;non_ABR_complet;infixe;7;0.000
100;ABR_filiforme;naif;297;0.001
100;ABR_filiforme;definition;100;0.000
100;ABR_filiforme;infixe;100;0.001
100;non_ABR_filiforme;naif;3;0.000
100;non_ABR_filiforme;definition;100;0.000
100;non_ABR_filiforme;infixe;3;0.000
100;ABR_quelconque;naif;289;0.001
100;ABR_quelconque;definition;100;0.001
100;ABR_quelconque;infixe;100;0.000
100;non_ABR_quelconque;naif;24;0.000
100;non_ABR_quelconque;definition;7;0.000
100;non_ABR_quelconque;infixe;4;0.000
120;ABR_complet;naif;347;0.001
120;ABR_complet;definition;120;0.001
120;ABR_complet;infixe;120;0.000
120;non_ABR_complet;naif;13;0.000
120;non_ABR_complet;definition;8;0.000
120;non_ABR_complet;infixe;7;0.000
120;ABR_filiforme;naif;352;0.001
120;ABR_filiforme;definition;120;0.001
120;ABR_filiforme;infixe;120;0.001
120;non_ABR_filiforme;naif;2;0.000
120;non_ABR_filiforme;definition;120;0.000
120;non_ABR_filiforme;infixe;2;0.000
120;ABR_quelconque;naif;346;0.000
120;ABR_quelconque;definition;120;0.001
120;ABR_quelconque;infixe;120;0.000
120;non_ABR_quelconque;naif;15;0.000
120;non_ABR_quelconque;definition;11;0.001
120;non_ABR_quelconque;infixe;11;0.000
140;ABR_complet;naif;405;0.001
140;ABR_complet;definition;140;0.000
140;ABR_complet;infixe;140;0.001
140;non_ABR_complet;naif;7;0.000
140;non_ABR_complet;definition;9;0.000
140;non_ABR_complet;infixe;9;0.000
140;ABR_filiforme;naif;417;0.001
140;ABR_filiforme;definition;140;0.001
140;ABR_filiforme;infixe;140;0.001
140;non_ABR_filiforme;naif;3;0.000
140;non_ABR_filiforme;definition;140;0.001
140;non_ABR_filiforme;infixe;5;0.000
140;ABR_quelconque;naif;406;0.001
140;ABR_quelconque;definition;140;0.001
140;ABR_quelconque;infixe;140;0.000
140;non_ABR_quelconque;naif;2;0.000
140;non_ABR_quelconque;definition;7;0.000
140;non_ABR_quelconque;infixe;7;0.000
160;ABR_complet;naif;465;0.002
160;ABR_complet;definition;160;0.001
160;ABR_complet;infixe;160;0.001
160;non_ABR_complet;naif;13;0.000
160;non_ABR_complet;definition;9;0.000
160;non_ABR_complet;infixe;8;0.000
160;ABR_filiforme;naif;477;0.002
160;ABR_filiforme;definition;160;0.001
160;ABR_filiforme;infixe;160;0.001
160;non_ABR_filiforme;naif;9;0.000
160;non_ABR_filiforme;definition;160;0.001
160;non_ABR_filiforme;infixe;8;0.000
160;ABR_quelconque;naif;472;0.001
160;ABR_quelconque;definition;160;0.001
160;ABR_quelconque;infixe;160;0.000
160;non_ABR_quelconque;naif;4;0.000
160;non_ABR_quelconque;definition;10;0.000
160;non_ABR_quelconque;infixe;8;0.000
180;ABR_complet;naif;525;0.001
180;ABR_complet;definition;180;0.001
180;ABR_complet;infixe;180;0.001
180;non_ABR_complet;naif;7;0.000
180;non_ABR_complet;definition;9;0.000
180;non_ABR_complet;infixe;8;0.000
180;ABR_filiforme;naif;537;0.001
180;ABR_filiforme;definition;180;0.002
180;ABR_filiforme;infixe;180;0.001
180;non_ABR_filiforme;naif;2;0.000
180;non_ABR_filiforme;definition;180;0.001
180;non_ABR_filiforme;infixe;2;0.000
180;ABR_quelconque;naif;527;0.001
180;ABR_quelconque;definition;180;0.001
180;ABR_quelconque;infixe;180;0.000
180;non_ABR_quelconque;naif;14;0.000
180;non_ABR_quelconque;definition;8;0.000
180;non_ABR_quelconque;infixe;4;0.000
200;ABR_complet;naif;585;0.002
200;ABR_complet;definition;200;0.001
200;ABR_complet;infixe;200;0.001
200;non_ABR_complet;naif;15;0.000
200;non_ABR_complet;definition;9;0.000
200;non_ABR_complet;infixe;9;0.000
200;ABR_filiforme;naif;597;0.002
200;ABR_filiforme;definition;200;0.001
200;ABR_filiforme;infixe;200;0.001
200;non_ABR_filiforme;naif;3;0.000
200;non_ABR_filiforme;definition;200;0.001
200;non_ABR_filiforme;infixe;8;0.000
200;ABR_quelconque;naif;590;0.002
200;ABR_quelconque;definition;200;0.001
200;ABR_quelconque;infixe;200;0.000
200;non_ABR_quelconque;naif;24;0.000
200;non_ABR_quelconque;definition;11;0.001
200;non_ABR_quelconque;infixe;11;0.000
250;ABR_complet;naif;735;0.001
250;ABR_complet;definition;250;0.002
250;ABR_complet;infixe;250;0.001
250;non_ABR_complet;naif;8;0.000
250;non_ABR_complet;definition;9;0.000
250;non_ABR_complet;infixe;8;0.000
250;ABR_filiforme;naif;747;0.004
250;ABR_filiforme;definition;250;0.003
250;ABR_filiforme;infixe;250;0.002
250;non_ABR_filiforme;naif;6;0.000
250;non_ABR_filiforme;definition;250;0.001
250;non_ABR_filiforme;infixe;5;0.000
250;ABR_quelconque;naif;735;0.003
250;ABR_quelconque;definition;250;0.002
250;ABR_quelconque;infixe;250;0.001
250;non_ABR_quelconque;naif;7;0.000
250;non_ABR_quelconque;definition;10;0.000
250;non_ABR_quelconque;infixe;10;0.000
300;ABR_complet;naif;883;0.003
300;ABR_complet;definition;300;0.002
300;ABR_complet;infixe;300;0.002
300;non_ABR_complet;naif;15;0.000
300;non_ABR_complet;definition;10;0.000
300;non_ABR_complet;infixe;9;0.000
300;ABR_filiforme;naif;897;0.002
300;ABR_filiforme;definition;300;0.002
300;ABR_filiforme;infixe;300;0.002
300;non_ABR_filiforme;naif;5;0.000
300;non_ABR_filiforme;definition;300;0.002
300;non_ABR_filiforme;infixe;6;0.000
300;ABR_quelconque;naif;888;0.002
300;ABR_quelconque;definition;300;0.002
300;ABR_quelconque;infixe;300;0.002
300;non_ABR_quelconque;naif;7;0.000
300;non_ABR_quelconque;definition;12;0.000
300;non_ABR_quelconque;infixe;7;0.000
350;ABR_complet;naif;1033;0.003
350;ABR_complet;definition;350;0.001
350;ABR_complet;infixe;350;0.001
350;non_ABR_complet;naif;15;0.000
350;non_ABR_complet;definition;10;0.000
350;non_ABR_complet;infixe;10;0.000
350;ABR_filiforme;naif;1047;0.003
350;ABR_filiforme;definition;350;0.002
350;ABR_filiforme;infixe;350;0.002
350;non_ABR_filiforme;naif;5;0.000
350;non_ABR_filiforme;definition;350;0.002
350;non_ABR_filiforme;infixe;4;0.000
350;ABR_quelconque;naif;1031;0.003
350;ABR_quelconque;definition;350;0.001
350;ABR_quelconque;infixe;350;0.002
350;non_ABR_quelconque;naif;8;0.000
350;non_ABR_quelconque;definition;8;0.000
350;non_ABR_quelconque;infixe;8;0.000
400;ABR_complet;naif;1183;0.003
400;ABR_complet;definition;400;0.002
400;ABR_complet;infixe;400;0.001
400;non_ABR_complet;naif;9;0.000
400;non_ABR_complet;definition;10;0.000
400;non_ABR_complet;infixe;10;0.000
400;ABR_filiforme;naif;1195;0.004
400;ABR_filiforme;definition;400;0.003
400;ABR_filiforme;infixe;400;0.002
400;non_ABR_filiforme;naif;2;0.000
400;non_ABR_filiforme;definition;400;0.002
400;non_ABR_filiforme;infixe;2;0.000
400;ABR_quelconque;naif;1187;0.003
400;ABR_quelconque;definition;400;0.002
400;ABR_quelconque;infixe;400;0.001
400;non_ABR_quelconque;naif;17;0.000
400;non_ABR_quelconque;definition;9;0.000
400;non_ABR_quelconque;infixe;9;0.000
450;ABR_complet;naif;1333;0.003
450;ABR_complet;definition;450;0.002
450;ABR_complet;infixe;450;0.002
450;non_ABR_complet;naif;9;0.000
450;non_ABR_complet;definition;10;0.000
450;non_ABR_complet;infixe;9;0.000
450;ABR_filiforme;naif;1347;0.004
450;ABR_filiforme;definition;450;0.003
450;ABR_filiforme;infixe;450;0.002
450;non_ABR_filiforme;naif;4;0.000
450;non_ABR_filiforme;definition;450;0.003
450;non_ABR_filiforme;infixe;3;0.000
450;ABR_quelconque;naif;1329;0.003
450;ABR_quelconque;definition;450;0.002
450;ABR_quelconque;infixe;450;0.002
450;non_ABR_quelconque;naif;14;0.000
450;non_ABR_quelconque;definition;11;0.000
450;non_ABR_quelconque;infixe;6;0.000
500;ABR_complet;naif;1483;0.003
500;ABR_complet;definition;500;0.003
500;ABR_complet;infixe;500;0.002
500;non_ABR_complet;naif;17;0.000
500;non_ABR_complet;definition;10;0.000
500;non_ABR_complet;infixe;10;0.000
500;ABR_filiforme;naif;1497;0.004
500;ABR_filiforme;definition;500;0.003
500;ABR_filiforme;infixe;500;0.003
500;non_ABR_filiforme;naif;11;0.000
500;non_ABR_filiforme;definition;500;0.002
500;non_ABR_filiforme;infixe;7;0.000
500;ABR_quelconque;naif;1489;0.004
500;ABR_quelconque;definition;500;0.003
500;ABR_quelconque;infixe;500;0.001
500;non_ABR_quelconque;naif;10;0.000
500;non_ABR_quelconque;definition;15;0.000
500;non_ABR_quelconque;infixe;10;0.000
550;ABR_complet;naif;1631;0.003
550;ABR_complet;definition;550;0.003
550;ABR_complet;infixe;550;0.002
550;non_ABR_complet;naif;25;0.000
550;non_ABR_complet;definition;11;0.000
550;non_ABR_complet;infixe;11;0.000
550;ABR_filiforme;naif;1646;0.005
550;ABR_filiforme;definition;550;0.004
550;ABR_filiforme;infixe;550;0.003
550;non_ABR_filiforme;naif;8;0.000
550;non_ABR_filiforme;definition;550;0.003
550;non_ABR_filiforme;infixe;8;0.000
550;ABR_quelconque;naif;1637;0.004
550;ABR_quelconque;definition;550;0.002
550;ABR_quelconque;infixe;550;0.003
550;non_ABR_quelconque;naif;5;0.000
550;non_ABR_quelconque;definition;11;0.000
550;non_ABR_quelconque;infixe;11;0.000
600;ABR_complet;naif;1781;0.003
600;ABR_complet;definition;600;0.003
600;ABR_complet;infixe;600;0.002
600;non_ABR_complet;naif;25;0.000
600;non_ABR_complet;definition;11;0.001
600;non_ABR_complet;infixe;11;0.000
600;ABR_filiforme;naif;1797;0.005
600;ABR_filiforme;definition;600;0.004
600;ABR_filiforme;infixe;600;0.003
600;non_ABR_filiforme;naif;7;0.000
600;non_ABR_filiforme;definition;600;0.004
600;non_ABR_filiforme;infixe;7;0.000
600;ABR_quelconque;naif;1784;0.004
600;ABR_quelconque;definition;600;0.003
600;ABR_quelconque;infixe;600;0.002
600;non_ABR_quelconque;naif;8;0.000
600;non_ABR_quelconque;definition;11;0.000
600;non_ABR_quelconque;infixe;10;0.000
650;ABR_complet;naif;1931;0.004
650;ABR_complet;definition;650;0.004
650;ABR_complet;infixe;650;0.003
650;non_ABR_complet;naif;9;0.000
650;non_ABR_complet;definition;11;0.000
650;non_ABR_complet;infixe;10;0.000
650;ABR_filiforme;naif;1944;0.007
650;ABR_filiforme;definition;650;0.005
650;ABR_filiforme;infixe;650;0.004
650;non_ABR_filiforme;naif;8;0.000
650;non_ABR_filiforme;definition;650;0.003
650;non_ABR_filiforme;infixe;4;0.000
650;ABR_quelconque;naif;1931;0.004
650;ABR_quelconque;definition;650;0.004
650;ABR_quelconque;infixe;650;0.002
650;non_ABR_quelconque;naif;11;0.000
650;non_ABR_quelconque;definition;9;0.000
650;non_ABR_quelconque;infixe;9;0.000
700;ABR_complet;naif;2081;0.005
700;ABR_complet;definition;700;0.003
700;ABR_complet;infixe;700;0.003
700;non_ABR_complet;naif;17;0.000
700;non_ABR_complet;definition;11;0.000
700;non_ABR_complet;infixe;10;0.000
700;ABR_filiforme;naif;2097;0.006
700;ABR_filiforme;definition;700;0.005
700;ABR_filiforme;infixe;700;0.004
700;non_ABR_filiforme;naif;2;0.000
700;non_ABR_filiforme;definition;700;0.004
700;non_ABR_filiforme;infixe;2;0.000
700;ABR_quelconque;naif;2080;0.005
700;ABR_quelconque;definition;700;0.003
700;ABR_quelconque;infixe;700;0.003
700;non_ABR_quelconque;naif;11;0.000
700;non_ABR_quelconque;definition;10;0.000
700;non_ABR_quelconque;infixe;7;0.000
750;ABR_complet;naif;2231;0.005
750;ABR_complet;definition;750;0.004
750;ABR_complet;infixe;750;0.003
750;non_ABR_complet;naif;26;0.000
750;non_ABR_complet;definition;11;0.000
750;non_ABR_complet;infixe;10;0.000
750;ABR_filiforme;naif;2247;0.006
750;ABR_filiforme;definition;750;0.005
750;ABR_filiforme;infixe;750;0.005
750;non_ABR_filiforme;naif;3;0.000
750;non_ABR_filiforme;definition;750;0.003
750;non_ABR_filiforme;infixe;3;0.000
750;ABR_quelconque;naif;2235;0.006
750;ABR_quelconque;definition;750;0.003
750;ABR_quelconque;infixe;750;0.003
750;non_ABR_quelconque;naif;8;0.000
750;non_ABR_quelconque;definition;11;0.000
750;non_ABR_quelconque;infixe;11;0.000
800;ABR_complet;naif;2381;0.006
800;ABR_complet;definition;800;0.004
800;ABR_complet;infixe;800;0.003
800;non_ABR_complet;naif;28;0.000
800;non_ABR_complet;definition;14;0.000
800;non_ABR_complet;infixe;11;0.000
800;ABR_filiforme;naif;2397;0.007
800;ABR_filiforme;definition;800;0.006
800;ABR_filiforme;infixe;800;0.004
800;non_ABR_filiforme;naif;11;0.000
800;non_ABR_filiforme;definition;800;0.005
800;non_ABR_filiforme;infixe;6;0.000
800;ABR_quelconque;naif;2389;0.005
800;ABR_quelconque;definition;800;0.004
800;ABR_quelconque;infixe;800;0.003
800;non_ABR_quelconque;naif;13;0.000
800;non_ABR_quelconque;definition;9;0.000
800;non_ABR_quelconque;infixe;8;0.000
850;ABR_complet;naif;2531;0.005
850;ABR_complet;definition;850;0.004
850;ABR_complet;infixe;850;0.004
850;non_ABR_complet;naif;19;0.000
850;non_ABR_complet;definition;11;0.000
850;non_ABR_complet;infixe;11;0.000
850;ABR_filiforme;naif;2547;0.007
850;ABR_filiforme;definition;850;0.007
850;ABR_filiforme;infixe;850;0.004
850;non_ABR_filiforme;naif;2;0.000
850;non_ABR_filiforme;definition;850;0.005
850;non_ABR_filiforme;infixe;6;0.000
850;ABR_quelconque;naif;2534;0.006
850;ABR_quelconque;definition;850;0.004
850;ABR_quelconque;infixe;850;0.003
850;non_ABR_quelconque;naif;6;0.000
850;non_ABR_quelconque;definition;9;0.001
850;non_ABR_quelconque;infixe;9;0.000
900;ABR_complet;naif;2681;0.005
900;ABR_complet;definition;900;0.004
900;ABR_complet;infixe;900;0.004
900;non_ABR_complet;naif;19;0.000
900;non_ABR_complet;definition;11;0.000
900;non_ABR_complet;infixe;10;0.000
900;ABR_filiforme;naif;2696;0.008
900;ABR_filiforme;definition;900;0.006
900;ABR_filiforme;infixe;900;0.005
900;non_ABR_filiforme;naif;8;0.000
900;non_ABR_filiforme;definition;900;0.005
900;non_ABR_filiforme;infixe;12;0.000
900;ABR_quelconque;naif;2683;0.006
900;ABR_quelconque;definition;900;0.004
900;ABR_quelconque;infixe;900;0.004
900;non_ABR_quelconque;naif;10;0.000
900;non_ABR_quelconque;definition;13;0.000
900;non_ABR_quelconque;infixe;12;0.000
950;ABR_complet;naif;2831;0.006
950;ABR_complet;definition;950;0.005
950;ABR_complet;infixe;950;0.004
950;non_ABR_complet;naif;19;0.000
950;non_ABR_complet;definition;11;0.000
950;non_ABR_complet;infixe;11;0.000
950;ABR_filiforme;naif;2847;0.008
950;ABR_filiforme;definition;950;0.006
950;ABR_filiforme;infixe;950;0.007
950;non_ABR_filiforme;naif;9;0.000
950;non_ABR_filiforme;definition;950;0.005
950;non_ABR_filiforme;infixe;9;0.000
950;ABR_quelconque;naif;2840;0.007
950;ABR_quelconque;definition;950;0.004
950;ABR_quelconque;infixe;950;0.004
950;non_ABR_quelconque;naif;7;0.000
950;non_ABR_quelconque;definition;9;0.000
950;non_ABR_quelconque;infixe;5;0.000
1000;ABR_complet;naif;2981;0.007
1000;ABR_complet;definition;1000;0.005
1000;ABR_complet;infixe;1000;0.004
1000;non_ABR_complet;naif;19;0.000
1000;non_ABR_complet;definition;11;0.000
1000;non_ABR_complet;infixe;10;0.000
1000;ABR_filiforme;naif;2997;0.008
1000;ABR_filiforme;definition;1000;0.007
1000;ABR_filiforme;infixe;1000;0.006
1000;non_ABR_filiforme;naif;7;0.000
1000;non_ABR_filiforme;definition;1000;0.005
1000;non_ABR_filiforme;infixe;4;0.000
1000;ABR_quelconque;naif;2983;0.006
1000;ABR_quelconque;definition;1000;0.005
1000;ABR_quelconque;infixe;1000;0.004
1000;non_ABR_quelconque;naif;6;0.000
1000;non_ABR_quelconque;definition;13;0.000
1000;non_ABR_quelconque;infixe;11;0.000
1100;ABR_complet;naif;3279;0.007
1100;ABR_complet;definition;1100;0.006
1100;ABR_complet;infixe;1100;0.004
1100;non_ABR_complet;naif;10;0.000
1100;non_ABR_complet;definition;12;0.000
1100;non_ABR_complet;infixe;12;0.000
1100;ABR_filiforme;naif;3297;0.009
1100;ABR_filiforme;definition;1100;0.008
1100;ABR_filiforme;infixe;1100;0.006
1100;non_ABR_filiforme;naif;7;0.000
1100;non_ABR_filiforme;definition;1100;0.006
1100;non_ABR_filiforme;infixe;5;0.000
1100;ABR_quelconque;naif;3288;0.008
1100;ABR_quelconque;definition;1100;0.005
1100;ABR_quelconque;infixe;1100;0.004
1100;non_ABR_quelconque;naif;12;0.000
1100;non_ABR_quelconque;definition;10;0.000
1100;non_ABR_quelconque;infixe;10;0.000
1200;ABR_complet;naif;3579;0.008
1200;ABR_complet;definition;1200;0.006
1200;ABR_complet;infixe;1200;0.004
1200;non_ABR_complet;naif;10;0.000
1200;non_ABR_complet;definition;12;0.000
1200;non_ABR_complet;infixe;12;0.000
1200;ABR_filiforme;naif;3597;0.010
1200;ABR_filiforme;definition;1200;0.009
1200;ABR_filiforme;infixe;1200;0.008
1200;non_ABR_filiforme;naif;3;0.000
1200;non_ABR_filiforme;definition;1200;0.007
1200;non_ABR_filiforme;infixe;3;0.000
1200;ABR_quelconque;naif;3586;0.008
1200;ABR_quelconque;definition;1200;0.006
1200;ABR_quelconque;infixe;1200;0.004
1200;non_ABR_quelconque;naif;12;0.000
1200;non_ABR_quelconque;definition;13;0.001
1200;non_ABR_quelconque;infixe;12;0.000
1300;ABR_complet;naif;3879;0.008
1300;ABR_complet;definition;1300;0.006
1300;ABR_complet;infixe;1300;0.005
1300;non_ABR_complet;naif;19;0.000
1300;non_ABR_complet;definition;12;0.000
1300;non_ABR_complet;infixe;11;0.000
1300;ABR_filiforme;naif;3897;0.012
1300;ABR_filiforme;definition;1300;0.009
1300;ABR_filiforme;infixe;1300;0.008
1300;non_ABR_filiforme;naif;14;0.000
1300;non_ABR_filiforme;definition;1300;0.007
1300;non_ABR_filiforme;infixe;7;0.000
1300;ABR_quelconque;naif;3887;0.009
1300;ABR_quelconque;definition;1300;0.007
1300;ABR_quelconque;infixe;1300;0.005
1300;non_ABR_quelconque;naif;14;0.000
1300;non_ABR_quelconque;definition;18;0.000
1300;non_ABR_quelconque;infixe;12;0.000
1400;ABR_complet;naif;4179;0.009
1400;ABR_complet;definition;1400;0.007
1400;ABR_complet;infixe;1400;0.006
1400;non_ABR_complet;naif;10;0.000
1400;non_ABR_complet;definition;12;0.000
1400;non_ABR_complet;infixe;11;0.000
1400;ABR_filiforme;naif;4194;0.012
1400;ABR_filiforme;definition;1400;0.010
1400;ABR_filiforme;infixe;1400;0.009
1400;non_ABR_filiforme;naif;2;0.000
1400;non_ABR_filiforme;definition;1400;0.008
1400;non_ABR_filiforme;infixe;9;0.000
1400;ABR_quelconque;naif;4184;0.009
1400;ABR_quelconque;definition;1400;0.007
1400;ABR_quelconque;infixe;1400;0.006
1400;non_ABR_quelconque;naif;15;0.000
1400;non_ABR_quelconque;definition;9;0.000
1400;non_ABR_quelconque;infixe;9;0.000
1500;ABR_complet;naif;4479;0.009
1500;ABR_complet;definition;1500;0.007
1500;ABR_complet;infixe;1500;0.006
1500;non_ABR_complet;naif;10;0.000
1500;non_ABR_complet;definition;12;0.001
1500;non_ABR_complet;infixe;11;0.000
1500;ABR_filiforme;naif;4495;0.013
1500;ABR_filiforme;definition;1500;0.010
1500;ABR_filiforme;infixe;1500;0.010
1500;non_ABR_filiforme;naif;2;0.000
1500;non_ABR_filiforme;definition;1500;0.008
1500;non_ABR_filiforme;infixe;2;0.000
1500;ABR_quelconque;naif;4483;0.010
1500;ABR_quelconque;definition;1500;0.007
1500;ABR_quelconque;infixe;1500;0.007
1500;non_ABR_quelconque;naif;11;0.000
1500;non_ABR_quelconque;definition;11;0.000
1500;non_ABR_quelconque;infixe;11;0.000
1600;ABR_complet;naif;4779;0.009
1600;ABR_complet;definition;1600;0.008
1600;ABR_complet;infixe;1600;0.007
1600;non_ABR_complet;naif;31;0.000
1600;non_ABR_complet;definition;12;0.000
1600;non_ABR_complet;infixe;11;0.000
1600;ABR_filiforme;naif;4797;0.014
1600;ABR_filiforme;definition;1600;0.012
1600;ABR_filiforme;infixe;1600;0.009
1600;non_ABR_filiforme;naif;6;0.000
1600;non_ABR_filiforme;definition;1600;0.009
1600;non_ABR_filiforme;infixe;5;0.000
1600;ABR_quelconque;naif;4781;0.012
1600;ABR_quelconque;definition;1600;0.008
1600;ABR_quelconque;infixe;1600;0.006
